NR. CRT.,VIN,DATA INTRARE VO,TIP AUTOVEHICUL,MARCA,MODEL,VERSIUNE,CULOARE,AN FABRICATIE,KM,CAPACITATE CILINDRICA,PUTERE,DATA PRIMEI INMATRICULARI,FURNIZOR,PROVENIENTA,Tip,LOCATIA,PRET CUMPARARE HT LEI,PRET EVALUARE TTC EURO,Data validare pret evaluare,REZERVARI,NR NIR,OBSERVATII,Serie caroserie,Nr inmatriculare vehicul,Discount,VANZARE,Curs ? Dacia,Pret vanzare lei TTC,Pret vanzare lei HT,tva,Data aviz plata,Nr factura,Data factura,Nume cumparator,Conditie interioara,Conditie exterioara,Pret evaluare DVS (TVA inclus),Pret evaluare Retail (TVA inclus),Pret Trade-in (TVA inclus),Stare,Data evaluare,FREVO,Data final garantie,Data actuala,Zile ramase garantie,Rate facturate,Perioada contract,CIV,IESIRE ROL,LIVRATE LA CLIENT,DATA OFERTA ANGAJATI,Data evaluare,Zile stoc / data evaluare,Zile stoc / data intrare,Viteza rotatie
44,VF1HJD40X69329602,12/03/2025,AUTOTURISM,DACIA,DUSTER II F.2,PRESTIGE ,ORANGE ARIZONA,2022,40084,1461,115,8/8/2022,RCI FINANTARE ROMANIA,RCI,VS,PARC AMAT ,"11,392.96 ?","18,500.00 ?",25.04.2025,STAR MOTOR SRL,," 4WD, SCAUNE INCALZITE, CAMERA MULTIVIEW",9329602,B114YMZ,5.00%,"17,575.00 ?",5.0315 lei,"88,428.61 lei","74,309.76 lei","14,118.85 lei",5/20/2025,30456306,5/26/2025,STAR MOTOR SRL,BUNA,"REVOPSIT BARA FATA+ARIPA FATA ST, ZGARIAT USOR JANTE, CARTE SERVICE 35038KM (08.2024)",18500,16529,14765,F BUNA,14.04.2025/RS,,6/23/2025,10/22/2025,-121,30,36,CIV,,,-,14.04.2025,#VALUE!,224,
45,VF1HJD40070494967,12/03/2025,AUTOTURISM,DACIA,DUSTER II F.2,JOURNEY+,COMET GREY,2022,30561,1332,150,2/9/2023,RCI FINANTARE ROMANIA,RCI,VS,PARC AMAT ,"13,366.10 ?","19,000.00 ?",25.04.2025,STAR MOTOR SRL,,4WD,0494967,B116RYT,5.00%,"18,050.00 ?",5.0315 lei,"90,818.58 lei","76,318.13 lei","14,500.44 lei",5/20/2025,30456307,5/26/2025,STAR MOTOR SRL,INTERIOR MURDAR-NECESAR IGIENIZARE,"ZGARIAT+INFUNDAT USOR 3CM USA FATA ST, CARTE SERVICE 29238KM (02.2025)",19000,18918,16884,F BUNA,14.04.2025/RS,100,12/18/2025,10/22/2025,57,24,36,CIV,,,-,14.04.2025,#VALUE!,224,
46,VF1HJD20870898814,12/03/2025,AUTOTURISM,DACIA,DUSTER II F.2,JOURNEY ,LICHEN KAKI,2023,29352,1332,150,4/6/2023,RCI FINANTARE ROMANIA,RCI,VS,PARC AMAT ,"13,794.84 ?","19,000.00 ?",25.04.2025,STAR MOTOR SRL,,"EDC 2WD, SCAUNE INCALZITE, CAMERA MULTIVIEW, PACHET CONFORT 2",0898814,B117EYZ,5.00%,"18,050.00 ?",5.0315 lei,"90,818.58 lei","76,318.13 lei","14,500.44 lei",5/20/2025,30456308,5/26/2025,STAR MOTOR SRL,BUNA,"REVOPSIT BARA SPATE+HAION, ZGARIAT USOR BARA FATA, ZGARIAT JANTA SPATE DR, CARTE SERVICE 17420KM (04.2024), NECESAR REVIZIE 1AN",19000,18790,16704,BUNA,14.04.2025/RS,300,3/27/2026,10/22/2025,156,21,36,CIV,,,-,14.04.2025,#VALUE!,224,
47,VF1VAE00071626196,28/11/2024,AUTOUTILITARA,RENAULT,MASTER E-TECH,FURGON L2H2 EV52,ALB MINERAL,2023,15,ELECTRIC,78,12/16/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,TI SUEROM,"106,808.32 lei","40,000.00 ?",,STAR MOTOR SRL,,"FURGON L2H2 E-TECH EV52 3.5T 3 LOCURI VOLUM 10,8M3, AER CONDITIONAT MANUAL CABINA CU FILTRU PRAF, RADIO ENTRY-LEVEL, BATERIE, VEDIF1",1626196,B123COZ,15.00%,"34,000.00 ?",5.0567 lei,"171,927.80 lei","144,477.14 lei","27,450.66 lei",5/20/2025,RCRF4005664VO,5/23/2025,STAR MOTOR SRL,STARE NOUA,STARE NOUA,38000,48522,45004,F BUNA,29.11.2024/RS,,10/18/2027,10/22/2025,726,-,-,CIV+COC,,,-,29.11.2024,#VALUE!,328,
48,VF1MA000671863256,27/12/2024,AUTOUTILITARA,RENAULT,MASTER,FG L3H2 PR,ALB MINERAL,2023,16,2298,145,INMATRICULARE <06.07.2025,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC SERUS CHIAJNA,"91,959.19 lei","27,933.00 ?",,STAR MOTOR SRL,FT18,"FURGON L3H2 PROPULSIE, AER CONDITIONAT, RADIO ENTRY LEVEL, APARATORI NOROI ROTI FATA/SPATE",1863256,NEINMATRICULAT,9.25%,"25,350.00 ?",5.0567 lei,"128,187.35 lei","107,720.46 lei","20,466.89 lei",5/20/2025,RCRF4005665VO,5/23/2025,STAR MOTOR SRL,,"Cu zgƒrieturi Aripa Fata stƒnga (Informativ), OTS ROSU!",,27933,25674,F BUNA,15.02.2025/DK,0,12/26/2027,10/22/2025,795,-,-,,,,-,15.02.2025,#VALUE!,299,
49,VF1RJB00672392270,20/02/2025,AUTOTURISM,RENAULT,SYMBIOZ,ICONIC E-TECH,BLUE MERCURE,2024,7736,1598,145,10/9/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC SERUS CHIAJNA,"97,886.61 lei","26,500.00 ?",,STAR MOTOR SRL,,"E-TECH, PLAFON SOLARBAY, ROATA REZERVA DIMENSIUNI REDUSE, AUDIO PREMIUM HARMAN KARDON, PACHET EXTENDED GRIP ESPRIT ALPINE",2392270,B122KYL,6.60%,"24,750.00 ?",5.0567 lei,"125,153.33 lei","105,170.86 lei","19,982.46 lei",5/20/2025,RCRF4005666VO,5/23/2025,STAR MOTOR SRL,LIPSA COVORASE,F BUNA,26500,N/A,N/A,F BUNA,13.03.2025/RS,,2/19/2028,10/22/2025,850,-,-,,,,-,13.03.2025,#VALUE!,244,
50,UU1DJF00573537035,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537035,,#DIV/0!,"13,400.00 ?",5.0567 lei,"67,759.78 lei","56,940.99 lei","10,818.79 lei",5/20/2025,RCRF4005667VO,5/23/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
51,UU1DJF00873537028,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537028,,#DIV/0!,"13,400.00 ?",5.0567 lei,"67,759.78 lei","56,940.99 lei","10,818.79 lei",5/20/2025,RCRF4005668VO,5/23/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
52,UU1DJF00273537042,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537042,,#DIV/0!,"13,400.00 ?",5.0567 lei,"67,759.78 lei","56,940.99 lei","10,818.79 lei",5/20/2025,RCRF4005669VO,5/23/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
53,UU1DJF00873537045,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537045,,#DIV/0!,"13,400.00 ?",5.0567 lei,"67,759.78 lei","56,940.99 lei","10,818.79 lei",5/20/2025,RCRF4005670VO,5/23/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
54,UU1DJF00573537049,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537049,,#DIV/0!,"13,400.00 ?",5.0567 lei,"67,759.78 lei","56,940.99 lei","10,818.79 lei",5/20/2025,RCRF4005671VO,5/23/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
55,UU1DJF00373537034,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537034,,#DIV/0!,"13,400.00 ?",5.0567 lei,"67,759.78 lei","56,940.99 lei","10,818.79 lei",5/20/2025,RCRF4005672VO,5/23/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
56,UU1DJF00473537026,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537026,,#DIV/0!,"13,400.00 ?",5.0567 lei,"67,759.78 lei","56,940.99 lei","10,818.79 lei",5/20/2025,RCRF4005673VO,5/23/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
57,UU1DJF00273537056,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537056,,#DIV/0!,"13,400.00 ?",5.0567 lei,"67,759.78 lei","56,940.99 lei","10,818.79 lei",5/20/2025,RCRF4005674VO,5/23/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
58,UU1DJF00173537050,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537050,,#DIV/0!,"13,400.00 ?",5.0567 lei,"67,759.78 lei","56,940.99 lei","10,818.79 lei",5/20/2025,RCRF4005675VO,5/23/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
59,UU1DJF00773537067,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537067,,#DIV/0!,"13,400.00 ?",5.0567 lei,"67,759.78 lei","56,940.99 lei","10,818.79 lei",5/20/2025,RCRF4005676VO,5/23/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
60,UU1DJF00973537037,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537037,,#DIV/0!,"13,400.00 ?",5.0567 lei,"67,759.78 lei","56,940.99 lei","10,818.79 lei",5/20/2025,RCRF4005677VO,5/23/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
61,UU1DJF00173537064,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537064,,#DIV/0!,"13,400.00 ?",5.0567 lei,"67,759.78 lei","56,940.99 lei","10,818.79 lei",5/20/2025,RCRF4005678VO,5/23/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
62,UU1DJF00073537024,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537024,,#DIV/0!,"13,400.00 ?",5.0567 lei,"67,759.78 lei","56,940.99 lei","10,818.79 lei",5/20/2025,RCRF4005679VO,5/23/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
63,UU1DJF00673537075,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,AMAT SELECTION SRL,,PLAFON IN CULOARE NEAGRA,3537075,,#DIV/0!,"13,500.00 ?",5.0630 lei,"68,350.50 lei","57,437.39 lei","10,913.11 lei",5/7/2025,RCRF4005680VO,5/23/2025,AMAT SELECTION SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
64,UU1DBG007PU131609,03/07/2024,AUTOTURISM,DACIA,SPRING,ESSENTIAL,KAOLIN WHITE,2023,16,ELECTRIC,,10/18/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC SERUS CHIAJNA,"24,629.47 lei","10,000.00 ?",,STAR MOTOR SRL,,"BATERIE, CABLU INCARCARE MODE2",31609 ÿ,B122KCC,5.00%,"9,500.00 ?",5.0865 lei,"48,321.75 lei","40,606.51 lei","7,715.24 lei",5/27/2025,RCRF4005681VO,5/27/2025,STAR MOTOR SRL,BUNA,"PLAFON INLOCUIT, REVOPSIT BARA FATA+ARIPI SPATE+ARIPA FATA DR, ORNAMENT BARA FATA ST DESPRINS",10000,12119,11214,BUNA,13.05.2025/RS,,7/1/2027,10/22/2025,617,-,-,,,,-,13.05.2025,#VALUE!,476,
65,VF1RFB00272535961,27/12/2024,AUTOTURISM,RENAULT,MEGANE SEDAN,EQUILIBRE,ALB GLACIER,2024,10,1332,140,12/17/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC SERUS CHIAJNA,"68,206.23 lei","18,000.00 ?",,STAR MOTOR SRL,FT18,"ROATA REZERVA DIMENSIUNI NORMALE, MET04",2535961,B123EHG,8.33%,"16,500.00 ?",5.0865 lei,"83,927.25 lei","70,527.10 lei","13,400.15 lei",5/27/2025,RCRF4005682VO,5/27/2025,STAR MOTOR SRL,LIPSA COVORASE,REVOPSIT BARA FATA+PLAFON+ARIPI SPATE+MONTANTI,18000,20011,18633,BUNA,13.05.2025/RS,,12/26/2027,10/22/2025,795,,,CIV,,,-,13.05.2025,#VALUE!,299,
66,VF1FL000072348475,27/12/2024,AUTOUTILITARA,RENAULT,TRAFIC,FG L1H1,ALB GLACIER,2024,11,1997,110,12/17/2024,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,PARC SERUS CHIAJNA,"100,432.45 lei","25,500.00 ?",,STAR MOTOR SRL,FT18,"FURGON CABINA SIMPLA L1H1, SCAUN SOFER REGLARE H, CAPAC PLANSA BORD, PACHET SIGURANTA 5, PACHET CLIMA 2, PROTECTIE LEMN PARDOSEALA, SCAUNE FATA INCALZITE",2348475,B123EHC,1.96%,"25,000.00 ?",5.0865 lei,"127,162.50 lei","106,859.24 lei","20,303.26 lei",5/27/2025,RCRF4005683VO,5/27/2025,STAR MOTOR SRL,LIPSA COVORASE,ARIPA SPATE DR+USA CULISANTA DR INLOCUITE,25000,29225,27379,BUNA,13.05.2025/RS,,12/26/2026,10/22/2025,430,,,CIV,,,-,13.05.2025,#VALUE!,299,
67,UU1DJF00173537081,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537081,,#DIV/0!,"13,400.00 ?",5.0865 lei,"68,159.10 lei","57,276.55 lei","10,882.55 lei",5/27/2025,RCRF4005684VO,5/27/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
68,UU1DJF00373537079,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537079,,#DIV/0!,"13,400.00 ?",5.0865 lei,"68,159.10 lei","57,276.55 lei","10,882.55 lei",5/27/2025,RCRF4005685VO,5/27/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
69,UU1DJF00273537025,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537025,,#DIV/0!,"13,400.00 ?",5.0865 lei,"68,159.10 lei","57,276.55 lei","10,882.55 lei",5/27/2025,RCRF4005686VO,5/27/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
70,UU1DJF00073537072,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537072,,#DIV/0!,"13,400.00 ?",5.0865 lei,"68,159.10 lei","57,276.55 lei","10,882.55 lei",5/27/2025,RCRF4005687VO,5/27/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
71,UU1DJF00873537031,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537031,,#DIV/0!,"13,400.00 ?",5.0865 lei,"68,159.10 lei","57,276.55 lei","10,882.55 lei",5/27/2025,RCRF4005688VO,5/27/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
72,UU1DJF00173537033,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537033,,#DIV/0!,"13,400.00 ?",5.0865 lei,"68,159.10 lei","57,276.55 lei","10,882.55 lei",5/27/2025,RCRF4005689VO,5/27/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
73,UU1DJF00073537038,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537038,,#DIV/0!,"13,400.00 ?",5.0865 lei,"68,159.10 lei","57,276.55 lei","10,882.55 lei",5/27/2025,RCRF4005690VO,5/27/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
74,UU1DJF00573537052,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537052,,#DIV/0!,"13,400.00 ?",5.0865 lei,"68,159.10 lei","57,276.55 lei","10,882.55 lei",5/27/2025,RCRF4005691VO,5/27/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
75,UU1DJF00073537041,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537041,,#DIV/0!,"13,400.00 ?",5.0865 lei,"68,159.10 lei","57,276.55 lei","10,882.55 lei",5/27/2025,RCRF4005692VO,5/27/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
76,UU1DJF00173537047,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537047,,#DIV/0!,"13,400.00 ?",5.0865 lei,"68,159.10 lei","57,276.55 lei","10,882.55 lei",5/27/2025,RCRF4005693VO,5/27/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
77,UU1DJF00773537036,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537036,,#DIV/0!,"13,400.00 ?",5.0865 lei,"68,159.10 lei","57,276.55 lei","10,882.55 lei",5/27/2025,RCRF4005694VO,5/27/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
78,UU1DJF00673537030,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537030,,#DIV/0!,"13,400.00 ?",5.0865 lei,"68,159.10 lei","57,276.55 lei","10,882.55 lei",5/27/2025,RCRF4005695VO,5/27/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
79,UU1DJF00X73537080,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537080,,#DIV/0!,"13,400.00 ?",5.0865 lei,"68,159.10 lei","57,276.55 lei","10,882.55 lei",5/27/2025,RCRF4005696VO,5/27/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
80,UU1DJF00673537058,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537058,,#DIV/0!,"13,400.00 ?",5.0865 lei,"68,159.10 lei","57,276.55 lei","10,882.55 lei",5/27/2025,RCRF4005697VO,5/27/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
81,UU1DJF00473537060,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537060,,#DIV/0!,"13,400.00 ?",5.0865 lei,"68,159.10 lei","57,276.55 lei","10,882.55 lei",5/27/2025,RCRF4005698VO,5/27/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
82,UU1DJF00373537051,04/04/2025,AUTOTURISM,DACIA,LOGAN  SL XX,XX ECO-G 100 MT6,SCHISTE GREY,2024,,999,100,,RENAULT COMMERCIAL ROUMANIE QVN,EXTERNA,QVN,,"47,519.92 lei","14,500.00 ?",,STAR MOTOR SRL,,PLAFON IN CULOARE NEAGRA,3537051,,#DIV/0!,"13,400.00 ?",5.0865 lei,"68,159.10 lei","57,276.55 lei","10,882.55 lei",5/27/2025,RCRF4005699VO,5/27/2025,STAR MOTOR SRL,,,,,,,,,3/30/2028,10/22/2025,890,-,-,,,,-,,-,201,
83,VF1RFB00969442859,22/04/2025,AUTOTURISM,RENAULT,MEGANE 4,RS,ORANGE TONIC,2022,49398,1798,300,7/6/2022,RCI FINANTARE ROMANIA,RCI,VS,PARC SERUS CHIAJNA,"17,598.74 ?",,,SWEN HOME DESIGN SRL,,"EDC, TAPITERIE PIELE, SCAUNE FATA INCALZITE, TRAPA, JANTE ALIAJ 19'RS'DIAMON, HEAD-UP DISPLAY, PACHET CONFORT PLUS RS, ADVANCED DRIVE SAFELY RS",9442859,B705WEB,#DIV/0!,"21,050.00 ?",5.1033 lei,"107,424.47 lei","90,272.66 lei","17,151.81 lei",5/19/2025,30456592,5/30/2025,SWEN HOME DESIGN SRL,BUNA,"REVOPSIT CAPOTA, ZGARIAT JANTE DR, CARTE SERVICE 43813KM (12.2024)",24000,24502,22570,BUNA,15.05.2025/RS,,6/24/2025,10/22/2025,-120,31,36,CIV,,,-,15.05.2025,#VALUE!,183,
